FID,Spill_ID,Status,Company,Incident_n,Incident_d,Report_dat,Contaminan,Estimated,Qauntity_r,Spill_stop,Type_of_fa,Cause,Site_locat,Latitude,Longitude,LGA,Estimate_1,Spill_area,Descriptio
0,62783,confirmed,NAOC,2017/LAR/055/092,2017-05-24,2017-05-24,cr,9.39,5.54,2017-05-27,pl,sab,10'' Oshie-Ogoda P/L @ Idu-Ekpeye,5.1151667,6.5590556,Ahoada-West,0.00142499,sw,70mm hacksaw cut seen on pipeline.
1,62805,confirmed,NAOC,2017/LAR/GLI/008,2017-05-29,2017-05-29, ,60.2,12.74,,fl,sab,"Oshie 15s Flowline Near River Crossing, Oshie Awelga Rivers State",5.10375,6.4825,Yenagoa,0.0,la,07mm long hacksaw cut at 8-10 O'clock position by unknown person's was observed on the facility
2,68723,confirmed,SPDC,1856419,2017-05-18,2017-05-26,cr,26.33,8.79,,pl,sab,"14"" Okordia - Rumuekpe trunkline right of way at Akaramini in Rivers State",5.11848,6.48906,Ahoada-West,0.0,la,there wasn't a single drop of oil and there was no impacted area because the pipeline had long been isolated
3,74160,confirmed,NAOC,2017/LAR/103/159,2017-09-07,2017-09-07,cr,18.26,7.18,2017-09-14,pl,sab,10'' OSHIE -OGODA PIPELINE AT IDU-EKPEYE IN AHOADA WEST L.G.A.RIVERS STATE.,5.1143333,6.5526389,Ahoada-West,0.00334218,la,TWO(2) driiled holes of 50mm and 60mm respectively was observed on the facility at a 3o clock position by unknown person(s).
4,74260,confirmed,NAOC,2017/LAR/109/167,2017-09-27,2017-09-27,cr,3.39,1.58,,fl,sab,"Oshie 15s f/l close to Oshie 6 well location, Oshie",5.1027222,6.4872778,Ahoada-West,2.944e-05,ss,110 mm long hacksaw cut at 2-5 o'clock position
5,94666,confirmed,NAOC,2017/NL/LAR/009/034,2017-05-07,2017-05-07,no,3.39,2.47,,pl,other:,"10"" Oshie Ogoda pipeline at Idu Ekpeye Community ,Ahoada West",5.1143056,6.5526667,Ahoada-West,0.0, ,Non leaking
6,94726,confirmed,NAOC,2016/LAR/118/282,2016-11-08,2016-11-08,cr,1.2,0.31,,pl,sab,"10"" OSHIE-OGODA OIL DELIVERY PIPELINE AT IDU-EKPEYE COMMUNITY",5.1135556,6.5498611,Ahoada-West,0.000473,la,"6mm drilled hole was observed at 9'Oclock position on the 10"" oil delivery pipline"
7,94777,confirmed,NAOC,2017/LAR/158/226,2017-12-24,2017-12-24,cr,40.22,20.57,,pl,other:,"10'' OSHIE - OGODA PIPELINE AT IDU - EKPEYE, AHOADA WEST, LGA, RIVERS STATE.",5.1143056,6.5526944,AHOADA WEST,0.00330782,la,"AN AREA AFFECTED BY CRUDE FOUND IN DITCHES AND DUG PITS BY UNKNOWN PERSONS, THERE WERE EVIDENCE OF SABOTAGE MATERIALS LIKE BUCKETS ETC, ALTHOUGH THERE WAS NO VISIBLE SIGN OF SPILL POINT THE INITIAL REPAIRED SPILL POINT WAS OPENED TO SEE IF ANYTHING WAS G"
8,98560,confirmed,NAOC,2018/LAR/029/041,2018-03-08,,cr,18.38,10.55,2018-03-10,fl,sab,"OSHIE 15L FLOW LINE ,OSHIE COMMUNITY,RIVERS STATE.",5.1036667,6.4841111,Ahoada-West,0.0, ,CRUDE OIL WAS SEEN WITHIN ROW AND SWAMP AROUND THE FACILITY. JOINT INVESTIGATION TEAM CONFIRMED THE CAUSE OF SPILLED TO BE SABOTAGE (HACK-SAW CUT) OF ABOUT 80mm OF 9-11 0'CLOCK POSITION. ESTIMATED CRUDE OIL SPILLED WAS 5 BARRELS CONFIRMED BY THE JIT TEAM
9,98689,confirmed,NAOC,2019/LAR/137/228,2019-12-16,2019-12-16,cr,24.63,3.38,2019-12-17,pl,sab,"24"" Ogoda/Brass pipeline at Okogbe, Rivers state",5.0485556,6.5469444,Ahoada-West,7.5e-05,la,Third-party connection on the company's pipeline. Impact localized within ROW. Soil and vegetation within 3 m radius around spill point were impacted.
10,98943,confirmed,NAOC,2018/LAR/043/059,2018-03-30,2018-03-30,cr,0.42,0.25,2018-03-31,fl,sab,"OSHIE 6S FLOW LINE BY OSHIE 6 WELL HEAD LOCATION, OSHIE COMMUNITY",5.1023889,6.4889167,Ahoada-West,0.00013,la,UNKNOWN PERSON(S) INFLICTED 80mm LONG HACKSAW CUT ON THE FLOW LINE AT 2-4 0' CLOCK POSITION.
11,105567,confirmed,SPDC,2045702,2018-03-24,2018-04-05,cr,70.07,16.57,2018-04-06,mf,sab,UKPELIEDE MANIFOLD AT UKPELIEDE,5.065126,6.539288,Ahoada-West,0.0002,la,"ON THE 8"" UBIE DELIVERY LINE A 2"" INLET PRESSURE GAUGE VALVE AND 2"" INLET VENT WERE OBSERVED VANDALISED BY UNKNOWN PERSON(S)."
12,119637,confirmed,SPDC,2067472,2018-04-28,2018-05-02,cr,35.73,5.43,2018-05-05,pl,sab,"14""Okordia -Rumuekpe (tkunkline) pipeline Ukpeliede, Rivers,Ahoada west.",5.089,6.5335,Ahoada-West,0.0013,"ss,sw",10mm Drilled hole at 12 O' clock position by unknown persons was observed on the facility.
13,127655,confirmed,SPDC,2097259,2018-06-08,2018-06-11,cr,4.77,4.1,,wh,sab,Ubie Well 5 L/S Well head at Iduekpeye,5.11234,6.55109,Ahoada-West,4.417e-05,la,OIL SPILLED FROM VALVES THAT WERE TAMPERED WITH ON THE UBIE WELL 5 L/S AND IMPACTED THE ENGINEERED ENVIRONMENT AROUND THE WELL HEAD
14,127664,confirmed,NAOC,2018/LAR/084/103,2018-06-15,2018-06-15,cr,4.01,3.5,2018-06-18,pl,sab,"10'' OSHIE-OGODA PIPELINE AT IDU-EKPEYE COMMUNITY AWELGA, RIVERS STATE",5.1066222,6.529625,Ahoada-West,0.01283214,ss,100MM LONG HACKSAW CUT WAS INFLICTED AT 2-5 O'CLOCK POSITION ON THE PIPELINE.
15,127680,confirmed,NAOC,2018/LAR/072/090,2018-05-29,2018-05-29,cr,4.05,3.02,2018-05-30,fl,sab,"OSHIE 6S FLOWLINE, OSHIE COMMUNITY, AWELGA, RIVERS STATE.",5.1014444,6.4921944,Ahoada-West,7.5e-06,la,HACKSAW CUT OBSERVED AT 6 - 9 0-CLOCK POSITIONS ON THE FLOWLINE.
